164032.000000,39.020187,-77.427246
164133.000000,39.020123,-77.427284
164135.000000,39.020119,-77.427284
164336.000000,39.020176,-77.427292
164340.000000,39.020184,-77.427299
164538.000000,39.020302,-77.427292
164540.000000,39.020306,-77.427292
164739.000000,39.020294,-77.427246
164840.000000,39.020191,-77.427277
164941.000000,39.020237,-77.427299
164942.000000,39.020241,-77.427299
165143.000000,39.020332,-77.427269
165144.000000,39.020332,-77.427269
165344.000000,39.020355,-77.427254
165445.000000,39.020218,-77.427292
165549.000000,39.020382,-77.427254
165651.000000,39.020348,-77.427231
165752.000000,39.020264,-77.427269
165853.000000,39.020329,-77.427261
165857.000000,39.020340,-77.427261
170055.000000,39.020504,-77.427261
170156.000000,39.020405,-77.427238
170256.000000,39.020451,-77.427193
170357.000000,39.020462,-77.427185
170458.000000,39.020332,-77.427246
170559.000000,39.020351,-77.427223
170659.000000,39.020382,-77.427238
170800.000000,39.020306,-77.427231
170901.000000,39.020309,-77.427246
171001.000000,39.020275,-77.427299
